"id_gene","symbol","name","organism","functions","phenotype","homologues","reference","pubmed","mouse_homologs","yeast_homologs","fly_homologs","worm_homologs","entrez_id","unigene","ensembl","uniprot","alias","hidden"
827,"Sod2","Superoxide dismutase 2, mitochondrial","Mus musculus",NULL,NULL,NULL,"",21108731,NULL,NULL,NULL,NULL,20656,NULL,"ENSMUSG00000006818",NULL,"MnSOD Sod-2",NULL
828,"Topors","Topoisomerase I binding, arginine/serine-rich ","Mus musculus",NULL,NULL,NULL,"",20429939,NULL,NULL,NULL,NULL,106021,NULL,"ENSMUSG00000036822",NULL,"LUN TP53BPL AW105885 p53BP3/LUN",NULL
829,"Tpp2","Tripeptidyl peptidase II","Mus musculus",NULL,NULL,NULL,"",18362329,NULL,NULL,NULL,NULL,22019,NULL,"ENSMUSG00000041763",NULL,"TPP-2 TppII",NULL
830,"Trp53bp1","Transformation related protein 53 binding protein 1","Mus musculus",NULL,NULL,NULL,"",19716796,NULL,NULL,NULL,NULL,27223,NULL,"ENSMUSG00000043909",NULL,"53BP1 m53BP1 Tp53bp1",NULL
831,"14-3-3epsilon","CG31196 gene product from transcript CG31196-RA","Drosophila melanogaster",NULL,NULL,NULL,"",18665908,NULL,NULL,NULL,NULL,42186,NULL,"FBgn0020238",NULL,"14-3-3 14-3-3 epsilon 14-3-3-e 14-3-3-epsilon 14-3",NULL
832,"Akt1","CG4006 gene product from transcript CG4006-RA","Drosophila melanogaster",NULL,NULL,NULL,"",20976250,NULL,NULL,NULL,NULL,41957,NULL,"FBgn0010379",NULL,"akt Akt AKT Akt/PKB AKT/PKB akt1 AKT1 Akt1|PKB CG4",NULL
833,"alpha-Man-I","Alpha Mannosidase I","Drosophila melanogaster",NULL,NULL,NULL,"",19302370,NULL,NULL,NULL,NULL,31957,NULL,"FBgn0259170",NULL,"alpha-Man-l CG17809 CG18799 CG32682 CG32684 CG4227",NULL
834,"Atg2","Autophagy-specific gene 2","Drosophila melanogaster",NULL,NULL,NULL,"",18059160,NULL,NULL,NULL,NULL,38344,NULL,"FBgn0044452",NULL,"atg2 ATG2 CG1241 Dmel\CG1241 EP3697",NULL
835,"Aut1","Aut1 -CG6877 gene product from transcript CG6877-RA","Drosophila melanogaster",NULL,NULL,NULL,"",18219227,NULL,NULL,NULL,NULL,40044,NULL,"FBgn0036813",NULL,"atg3 Atg3 CG6877 Dmel\CG6877 Draut1",NULL
836,"bam","bag of marbles","Drosophila melanogaster","",NULL,NULL,"",18434551,NULL,NULL,NULL,NULL,43038,"","FBgn0000158","","alpha Bam BAM Bam-C BamC BamF CG10422 Dmel\CG10422",NULL
837,"bsk","basket","Drosophila melanogaster",NULL,NULL,NULL,"",20976250,NULL,NULL,NULL,NULL,44801,NULL,"FBgn0000229",NULL,"Bsk BSK BSK/DJNK c-Jun CG5680 D-JNK D-junk DBSK/JN",NULL
838,"CG17856","CG17856 gene product from transcript CG17856-RA","Drosophila melanogaster",NULL,NULL,NULL,"",19747824,NULL,NULL,NULL,NULL,43369,NULL,"FBgn0039576",NULL,"Dmel\CG17856",NULL
839,"CG18809","CG18809 gene product from transcript CG18809-RA","Drosophila melanogaster",NULL,NULL,NULL,"",19747824,NULL,NULL,NULL,NULL,59170,NULL,"FBgn0042132",NULL,"Dmel\CG18809",NULL
840,"CG5389","CG5389 gene product from transcript CG5389-RA","Drosophila melanogaster",NULL,NULL,NULL,"",19747824,NULL,NULL,NULL,NULL,39761,NULL,"FBgn0036568",NULL,"Dmel\CG5389",NULL
841,"CG9172","CG9172 gene product from transcript CG9172-RA","Drosophila melanogaster",NULL,NULL,NULL,"",19747824,NULL,NULL,NULL,NULL,32565,NULL,"FBgn0030718",NULL,"20 kDa Dmel\CG9172",NULL
842,"DNApol-gamma35","DNA polymerase Gamma","Drosophila melanogaster",NULL,NULL,NULL,"",17999718,NULL,NULL,NULL,NULL,3772064,NULL,"FBgn0004407",NULL,"BG:DS00941.9 br16 CG33084 CG33650 CG8969 D-pol gam",NULL
843,"Dys","Dystrophin","Drosophila melanogaster",NULL,NULL,NULL,"",18221418,NULL,NULL,NULL,NULL,42327,NULL,"FBgn0260003",NULL,"CG17750 CG31175 CG34157 CG7240 CG7243 CG7344 det D",NULL
844,"E(z)","Enhancer of zeste","Drosophila melanogaster",NULL,NULL,NULL,"",20018689,NULL,NULL,NULL,NULL,39203,NULL,"FBgn0000629",NULL,"CG6502 Dmel\CG6502 E(Z) E(z)1 Ez EZ E[z] l(3)1902 ",NULL
845,"Edem1","CG3810 gene product from transcript CG3810-RC","Drosophila melanogaster",NULL,NULL,NULL,"",19302370,NULL,NULL,NULL,NULL,31154,NULL,"FBgn0023511",NULL,"CG3810 DM-pI Dmel\CG3810 edem1 EDEM1 EG.86E4.2 EG:",NULL
846,"elav","embryonic lethal abnormal vision","Drosophila melanogaster",NULL,NULL,NULL,"",20589912,NULL,NULL,NULL,NULL,31000,NULL,"FBgn0260400",NULL,"44C11 9F8A9 CG4262 Dmel\CG4262 EC7 EG:65F1.2 Elav ",NULL
847,"esc","extra sexcombs","Drosophila melanogaster",NULL,NULL,NULL,"",20018689,NULL,NULL,NULL,NULL,34595,NULL,"FBgn0000588",NULL,"CG14941 dESC Dmel\CG14941 Esc ESC L41867 sc",NULL
848,"fh","frataxin homolog","Drosophila melanogaster",NULL,NULL,NULL,"",18258192,NULL,NULL,NULL,NULL,31845,NULL,"FBgn0030092",NULL,"BcDNA:AT09528 CG8971 dfh Dfh DFH Dmel\CG8971 X25",NULL
849,"Gadd45","CG11086 gene product from transcript CG11086-RA","Drosophila melanogaster",NULL,NULL,NULL,"",21153055,NULL,NULL,NULL,NULL,35646,NULL,"FBgn0033153",NULL,"BcDNA:RH70774 CG11086 D-GADD45 Dmel\CG11086 GADD45",NULL
850,"Gr63a","Gustatory receptor 63a","Drosophila melanogaster",NULL,NULL,NULL,"",20422037,NULL,NULL,NULL,NULL,38453,NULL,"FBgn0035468",NULL,"CG14979 Dmel\CG14979 DmGr63a GR63a Gr63F1",NULL
851,"GstS1","Glutathione S transferase S1","Drosophila melanogaster",NULL,NULL,NULL,"",18059160,NULL,NULL,NULL,NULL,36927,NULL,"FBgn0010226",NULL,"CG8938 Dmel\CG8938 DmGst-2 DmGST-2 DmGST2 DmGSTS1 ",NULL
852,"hebe","hebe gene product from transcript hebe-RD ","Drosophila melanogaster",NULL,NULL,NULL,"",19011900,NULL,NULL,NULL,NULL,36011,NULL,"FBgn0033448",NULL,"CG1623 Dmel\CG1623",NULL
853,"Hsc70-3","Heat shock protein cognate 3","Drosophila melanogaster",NULL,NULL,NULL,"",18059160,NULL,NULL,NULL,NULL,32133,NULL,"FBgn0001218",NULL,"anon-WO0138581.7 bip Bip BiP CG1579 CG4147 dhsc70 ",NULL
854,"Hsp22","Heat shock protein 22","Drosophila melanogaster","","","","",19420297,"","","","",3772576,"","FBgn0001223","","22 anon-WO0118547.50 anon-WO0140519.138 CG32041 CG",NULL
855,"Ilp2","Insulin-related peptide   ","Drosophila melanogaster","","","","",15708981,"","","","",39150,"","FBgn0036046","","CG8167 dilp Dilp DILP Dilp 2 dilp-2 dILP-2 Dilp-2 ",NULL
856,"Jafrac1","Thioredoxin peroxidase 1","Drosophila melanogaster","","","","",19720829,"","","","",53578,"","FBgn0040309","","1633 CG1633 cTPx Dmel\CG1633 DmTPx-1 dPrx I Dpx-47",NULL
857,"CG3776","Juvenile hormone esterase binding protein 29 (DmP29)","Drosophila melanogaster",NULL,NULL,NULL,"",18275960,NULL,NULL,NULL,NULL,37996,NULL,"FBgn0035088",NULL,"Dmel\CG3776 DmP29 EP(2)0835 Jhebp29 P29",NULL
858,"CG3776","Juvenile hormone esterase binding protein 29 (DmP29)","Drosophila melanogaster",NULL,NULL,NULL,"",18275960,NULL,NULL,NULL,NULL,37996,NULL,"FBgn0035088",NULL,"Dmel\CG3776 DmP29 EP(2)0835 Jhebp29 P29",NULL
859,"Keap1","CG3962 gene product from transcript CG3962-RA","Drosophila melanogaster",NULL,NULL,NULL,"",18194654,NULL,NULL,NULL,NULL,42062,NULL,"FBgn0038475",NULL,"CG3962 dkeap1 dKeap1 dKEAP1 Dmel\CG3962 keap1 KEAP",NULL
860,"kermit","CG11546","Drosophila melanogaster",NULL,NULL,NULL,"",21029723,NULL,NULL,NULL,NULL,46027,NULL,"FBgn0010504",NULL,"BEST:LD04728 CG11546 dGIPC dKermit Dmel\CG11546 l(",NULL
861,"kuk","kugelkern","Drosophila melanogaster",NULL,NULL,NULL,"",18494863,NULL,NULL,NULL,NULL,42063,NULL,"FBgn0038476",NULL,"CG5175 char Dmel\CG5175 Kuk kuk/char",NULL
862,"l(3)neo18","l(3)neo18","Drosophila melanogaster",NULL,NULL,NULL,"",19747824,NULL,NULL,NULL,NULL,46260,NULL,"FBgn0011455",NULL,"CG9762 Dmel\CG9762",NULL
863,"LBR","Lamin B receptor","Drosophila melanogaster",NULL,NULL,NULL,"",18494863,NULL,NULL,NULL,NULL,37482,NULL,"FBgn0034657",NULL,"CG17952 dLBR Dmel\CG17952",NULL
864,"Lnk","CG17367 gene product from transcript CG17367-RC","Drosophila melanogaster",NULL,NULL,NULL,"",20333234,NULL,NULL,NULL,NULL,43130,NULL,"FBgn0028717",NULL,"CG 17367 CG17367 CG5908 Dmel\CG17367 dSH2B lnk",NULL
865,"loco","locomotion defects","Drosophila melanogaster","",NULL,NULL,"",21776417,NULL,NULL,NULL,NULL,42672,"","FBgn0020278","","CG17229 CG5248 dLoco Dmel\CG5248 Loco",NULL
867,"magu","magu  gene product from transcript magu -RD","Drosophila melanogaster",NULL,NULL,NULL,"",19011900,NULL,NULL,NULL,NULL,36048,NULL,"FBgn0262169",NULL,"CG2264 CT7504 Dmel\CG2264 pent PENT",NULL
868,"mle","Maleless","Drosophila melanogaster",NULL,NULL,NULL,"",18208580,NULL,NULL,NULL,NULL,35523,NULL,"FBgn0002774",NULL,"CG11680 Dmel\CG11680 mak MLE mll mls nap nap[ts]",NULL
869,"Mlp84B","Muscle LIM protein at 84B","Drosophila melanogaster",NULL,NULL,NULL,"",18083727,NULL,NULL,NULL,NULL,40849,NULL,"FBgn0014863",NULL,"CG1019 DLim-3 Dmel\CG1019 DmLIM-3 dMlp84B Mlmu84B ",NULL
870,"MTF-1","Metal response element-binding Transcription Factor-1","Drosophila melanogaster",NULL,NULL,NULL,"",18775584,NULL,NULL,NULL,NULL,39089,NULL,"FBgn0040305",NULL,"anon-WO0118547.411 CG3743 Dmel\CG3743 dMTF-1 mtf-1",NULL
871,"Naam","Naam gene product from transcript Naam-RA","Drosophila melanogaster",NULL,NULL,NULL,"",18678867,NULL,NULL,NULL,NULL,42348,NULL,"FBgn0051216",NULL,"AAM52663 anon-WO0172774.59 anon-WO0172774.60 CG312",NULL
872,"NLaz","Neural Lazarillo","Drosophila melanogaster",NULL,NULL,NULL,"",21376794,NULL,NULL,NULL,NULL,33324,NULL,"FBgn0053126",NULL,"BcDNA:RE67583 CG16933 CG33126 CT33980 Dmel\CG33126",NULL
873,"Pex16","peroxin 16","Drosophila melanogaster",NULL,NULL,NULL,"",21826223,NULL,NULL,NULL,NULL,40293,NULL,"FBgn0037019",NULL,"CG3947 DmelPex16 Dmel\CG3947 pex16",NULL
874,"Pi3K92E","CG4141 gene product from transcript CG4141-RA","Drosophila melanogaster",NULL,NULL,NULL,"",20976250,NULL,NULL,NULL,NULL,42446,NULL,"FBgn0015279",NULL,"anon-92Ed CG4141 Dmel\CG4141 Dmp110 dp110 dP110 Dp",NULL
875,"Prx5","Peroxiredoxin 5","Drosophila melanogaster",NULL,NULL,NULL,"",19128239,NULL,NULL,NULL,NULL,3771951,NULL,"FBgn0038570",NULL,"CG 32920 CG 7217 CG32920 CG7217 Dmel\CG7217 dprx5 ",NULL
876,"Pten","CG5671 gene product from transcript CG5671-RB","Drosophila melanogaster","","","","",21111239,"","","","",43991,"","FBgn0026379","","CG5671 Dmel\CG5671 dpten dPten dPTEN DPTEN pten PT",NULL
877,"Rbp9","RNA-binding protein 9","Drosophila melanogaster",NULL,NULL,NULL,"",20589912,NULL,NULL,NULL,NULL,33498,NULL,"FBgn0010263",NULL,"CG15402 CG3151 Dmel\CG3151 fes fs(2)B rbp Rbp10 rb",NULL
878,"SNF4Agamma","SNF4/AMP-activated protein kinase gamma subunit","Drosophila melanogaster",NULL,NULL,NULL,"",18219227,NULL,NULL,NULL,NULL,42515,NULL,"FBgn0264357",NULL,"0050/42 0127/19 AMPgamma AMPKgamma anon-WO0118547.",NULL
879,"snz","snazarus (sorting nexin lazarus)","Drosophila melanogaster","","","","",18478054,"","","","",31704,"","FBgn0029976","","CG1514 Dmel\CG1514 Snz",NULL
880,"Thor","CG8846 gene product from transcript CG8846-RA","Drosophila melanogaster","","","","",21111239,"","","","",33569,"","FBgn0261560","","153432_at 43-BP 4e-bp 4E-BP 4E-BP1 4ebp 4eBP 4EBP ",NULL
881,"to","takeout","Drosophila melanogaster",NULL,NULL,NULL,"",20519778,NULL,NULL,NULL,NULL,43036,NULL,"FBgn0039298",NULL,"CG11853 CT33074 Dmel\CG11853",NULL
882,"yata","CG1973 gene product from transcript CG1973-RA","Drosophila melanogaster",NULL,NULL,NULL,"",19209226,NULL,NULL,NULL,NULL,43508,NULL,"FBgn0260990",NULL,"CG1973 Dmel\CG1973 Yata",NULL
883,"Zw","Zwischenferment","Drosophila melanogaster",NULL,NULL,NULL,"",18809674,NULL,NULL,NULL,NULL,32974,NULL,"FBgn0004057",NULL,"CG12529 Dmel\CG12529 G-6-PD G-6-pdh G-6pd G-6PD G6",NULL
884,"ace-1","abnormal ACEtylcholinesterase","Caenorhabditis elegans",NULL,NULL,NULL,"",18059442,NULL,NULL,NULL,NULL,181706,NULL,"W09B12.1",NULL,"",NULL
885,"adr-1","Adenosine Deaminase that acts on RNA","Caenorhabditis elegans","","","","",20011587,"","","","",172542,"","H15N14.1","","",NULL
886,"adr-2","Adenosine Deaminase that acts on RNA","Caenorhabditis elegans","","","","",20011587,"","","","",176022,"","T20H4.4","","",NULL
887,"aip-1","Arsenite Inducible Protein","Caenorhabditis elegans",NULL,NULL,NULL,"",18467495,NULL,NULL,NULL,NULL,179898,NULL,"F58E10.4",NULL,"",NULL
888,"aps-3","daPtin, Small chain (clathrin associated complex)","Caenorhabditis elegans",NULL,NULL,NULL,"",18006689,NULL,NULL,NULL,NULL,171691,NULL,"Y48G8AL.14",NULL,"",NULL
889,"apy-1","APYrase","Caenorhabditis elegans",NULL,NULL,NULL,"",18216284,NULL,NULL,NULL,NULL,181019,NULL,"F08C6.6",NULL,"",NULL
890,"arf-1.1","ADP-Ribosylation Factor related","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,191609,NULL,"F45E4.1",NULL,"",NULL
891,"arr-1","ARRestin family ","Caenorhabditis elegans",NULL,NULL,NULL,"",20207731,NULL,NULL,NULL,NULL,180446,NULL,"F53H8.2",NULL,"",NULL
892,"ash-2","ASH histone methyltransferase complex subunit (Drosophila absent, small or homeotic discs) ","Caenorhabditis elegans","","","","",20555324,"","","","",174838,"","Y17G7B.2","","",NULL
893,"atg-18","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans",NULL,NULL,NULL,"",18219227,NULL,NULL,NULL,NULL,179246,NULL,"F41E6.13",NULL,"",NULL
894,"atg-3","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans",NULL,NULL,NULL,"",19469880,NULL,NULL,NULL,NULL,176921,NULL,"Y55F3AM.4",NULL,"",NULL
895,"atg-4.1","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans",NULL,NULL,NULL,"",19469880,NULL,NULL,NULL,NULL,190777,NULL,"Y87G2A.3",NULL,"",NULL
896,"atg-4.2","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans",NULL,NULL,NULL,"",19469880,NULL,NULL,NULL,NULL,3565022,NULL,"ZK792.8",NULL,"",NULL
897,"atg-5","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans",NULL,NULL,NULL,"",19469880,NULL,NULL,NULL,NULL,171735,NULL,"Y71G12B.12",NULL,"",NULL
898,"atg-9","AuTophaGy (yeast Atg homolog)","Caenorhabditis elegans",NULL,NULL,NULL,"",18219227,NULL,NULL,NULL,NULL,178561,NULL,"T22H9.2",NULL,"",NULL
899,"B0024.4","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,179432,NULL,"B0024.4",NULL,"",NULL
900,"bub-3"," yeast BUB homolog","Caenorhabditis elegans",NULL,NULL,NULL,"",18059442,NULL,NULL,NULL,NULL,175018,NULL,"Y54G9A.6",NULL,"",NULL
901,"acs-7","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,174472,NULL,"C01G6.7",NULL,"",NULL
902,"C03H5.3","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19764929,NULL,NULL,NULL,NULL,173427,NULL,"C03H5.3",NULL,"",NULL
903,"sams-3","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",18006689,NULL,NULL,NULL,NULL,177355,NULL,"C06E7.1",NULL,"",NULL
904,"CELE_C17H1.7","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,182749,NULL,"C17H1.7",NULL,"",NULL
905,"CELE_C25H3.9","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",20688098,NULL,NULL,NULL,NULL,173963,NULL,"C25H3.9",NULL,"",NULL
906,"CELE_C31B8.4","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,183078,NULL,"C31B8.4",NULL,"",NULL
907,"klo-1","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",20844315,NULL,NULL,NULL,NULL,177557,NULL,"C50F7.10",NULL,"",NULL
908,"ceh-10","ceh-10 Homeobox","Caenorhabditis elegans",NULL,NULL,NULL,"",21055415,NULL,NULL,NULL,NULL,175811,NULL,"W03A3.1",NULL,"",NULL
909,"chc-1","Clathrin Heavy Chain","Caenorhabditis elegans",NULL,NULL,NULL,"",19627265,NULL,NULL,NULL,NULL,176434,NULL,"T20G5.1",NULL,"",NULL
910,"cup-4","Coelomocyte UPtake defective ","Caenorhabditis elegans",NULL,NULL,NULL,"",19627265,NULL,NULL,NULL,NULL,176104,NULL,"C02C2.3",NULL,"",NULL
911,"cyp-13B1","CYtochrome P450 family","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,181462,NULL,"F02C12.5",NULL,"",NULL
912,"D2030.1","Alpha-1,2-mannosidase I","Caenorhabditis elegans",NULL,NULL,NULL,"",19302370,NULL,NULL,NULL,NULL,172510,NULL,"D2030.1",NULL,"",NULL
913,"dhs-21","DeHydrogenases, Short chain ","Caenorhabditis elegans",NULL,NULL,NULL,"",21477590,NULL,NULL,NULL,NULL,179741,NULL,"R11D1.11",NULL,"",NULL
914,"dis-3","DIS3 (yeast disjunction abnormal) exonuclease homolog","Caenorhabditis elegans",NULL,NULL,NULL,"",18059442,NULL,NULL,NULL,NULL,177875,NULL,"C04G2.6",NULL,"",NULL
915,"dve-1","DVE (Defective proVEntriculus in Drosophila) homolog","Caenorhabditis elegans",NULL,NULL,NULL,"",21215371,NULL,NULL,NULL,NULL,180398,NULL,"ZK1193.5",NULL,"",NULL
916,"klo-2","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",20844315,NULL,NULL,NULL,NULL,184000,NULL,"E02H9.5",NULL,"",NULL
917,"eak-7","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",18006689,NULL,NULL,NULL,NULL,3564920,NULL,"K08E7.1",NULL,"",NULL
918,"egl-18","Erythroid-Like Transcription factor family","Caenorhabditis elegans",NULL,NULL,NULL,"",18662544,NULL,NULL,NULL,NULL,176992,NULL,"F55A8.1",NULL,"",NULL
919,"egl-30","EGg Laying defective   ","Caenorhabditis elegans",NULL,NULL,NULL,"",19043554,NULL,NULL,NULL,NULL,171751,NULL,"M01D7.7",NULL,"",NULL
920,"egl-8","EGg Laying defective   ","Caenorhabditis elegans",NULL,NULL,NULL,"",19043554,NULL,NULL,NULL,NULL,178537,NULL,"B0348.4",NULL,"",NULL
921,"egl-9","EGg Laying defective","Caenorhabditis elegans",NULL,NULL,NULL,"",19372390,NULL,NULL,NULL,NULL,179461,NULL,"F22E12.4",NULL,"",NULL
922,"eri-1","Enhanced RNAI (RNA interference) ","Caenorhabditis elegans",NULL,NULL,NULL,"",18006689,NULL,NULL,NULL,NULL,176868,NULL,"T07A9.5",NULL,"",NULL
923,"ets-4","ETS class transcription factor","Caenorhabditis elegans",NULL,NULL,NULL,"",20862312,NULL,NULL,NULL,NULL,180927,NULL,"F22A3.1",NULL,"",NULL
924,"exo-3","EXOnuclease","Caenorhabditis elegans",NULL,NULL,NULL,"",20346071,NULL,NULL,NULL,NULL,173069,NULL,"R09B3.1",NULL,"",NULL
925,"CELE_F11A3.2","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",18728216,NULL,NULL,NULL,NULL,179331,NULL,"F11A3.2",NULL,"",NULL
926,"F11G11.13","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",18006689,NULL,NULL,NULL,NULL,184367,NULL,"F11G11.13",NULL,"",NULL
927,"F15B9.6","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,184523,NULL,"F15B9.6",NULL,"",NULL
928,"F15D3.8","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,184528,NULL,"F15D3.8",NULL,"",NULL
929,"ent-5","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19764929,NULL,NULL,NULL,NULL,184599,NULL,"F16H11.3",NULL,"",NULL
930,"F22D3.5","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",18006689,NULL,NULL,NULL,NULL,184826,NULL,"F22D3.5",NULL,"",NULL
931,"CELE_F23F12.3","hypothetical protein","Caenorhabditis elegans",NULL,NULL,NULL,"",19575768,NULL,NULL,NULL,NULL,175926,NULL,"F23F12.3",NULL,"",NULL
